@relation EntailmentFeatureSet1 
@attribute 'AintersectB' numeric
@attribute 'AdiffB' numeric
@attribute 'BdiffA' numeric
@attribute 'class' {'Yes', 'No'}
@data
0,114,0,'Yes'
1,310,62,'Yes'
1,73,72,'Yes'
0,135,60,'Yes'
74,116,54,'Yes'
49,104,86,'Yes'
0,3,1,'Yes'
3,97,101,'Yes'
0,14,0,'Yes'
0,3,64,'Yes'
15,55,65,'Yes'
0,189,14,'Yes'
10,51,333,'Yes'
17,21,8,'Yes'
41,77,261,'Yes'
0,25,0,'Yes'
0,658,1,'Yes'
0,3,0,'Yes'
0,119,0,'Yes'
0,26,50,'Yes'
0,372,10,'Yes'
0,4,98,'Yes'
0,4,756,'Yes'
0,0,0,'Yes'
57,145,87,'Yes'
0,2,27,'Yes'
15,55,65,'Yes'
24,520,7,'Yes'
1,62,310,'Yes'
0,2,114,'Yes'
2,4,71,'Yes'
3,308,12,'Yes'
5,480,16,'Yes'
1,17,0,'Yes'
6,5,63,'Yes'
0,70,0,'Yes'
0,127,0,'Yes'
4,301,226,'Yes'
57,145,87,'Yes'
0,31,26,'Yes'
0,10,157,'Yes'
3,94,57,'Yes'
27,57,21,'Yes'
1,17,13,'Yes'
0,48,57,'Yes'
0,0,0,'Yes'
3,70,4,'Yes'
1,156,132,'Yes'
3,199,33,'Yes'
2,114,10,'Yes'
4,44,16,'Yes'
4,8,521,'Yes'
0,116,1349,'Yes'
7,4,124,'Yes'
0,60,135,'Yes'
0,0,241,'Yes'
2,11,300,'Yes'
2,80,126,'Yes'
0,54,5,'Yes'
1,8,64,'Yes'
1,22,170,'Yes'
0,5,108,'Yes'
34,624,137,'Yes'
0,1,0,'Yes'
0,38,125,'Yes'
0,0,19,'Yes'
2,21,12,'Yes'
1,37,3,'Yes'
1,457,62,'Yes'
0,2,45,'Yes'
18,30,188,'Yes'
0,4,208,'Yes'
6,33,90,'Yes'
0,36,84,'Yes'
1,37,28,'Yes'
0,153,1,'Yes'
0,1,508,'Yes'
0,117,296,'Yes'
0,70,14,'Yes'
1,284,209,'Yes'
0,153,1,'Yes'
1,10,21,'Yes'
15,120,10,'Yes'
2,151,97,'Yes'
6,33,90,'Yes'
5,114,51,'Yes'
17,180,238,'Yes'
2,45,19,'Yes'
0,6,7,'Yes'
0,124,39,'Yes'
0,65,3,'Yes'
0,23,4,'Yes'
102,383,51,'Yes'
1,2,96,'Yes'
27,334,115,'Yes'
15,120,10,'Yes'
0,21,189,'Yes'
0,48,189,'Yes'
2,13,225,'Yes'
0,183,0,'Yes'
0,14,125,'Yes'
0,13,35,'Yes'
0,9,0,'Yes'
3,199,81,'Yes'
0,0,37,'Yes'
31,17,85,'Yes'
0,31,30,'Yes'
4,44,16,'Yes'
0,12,3,'Yes'
1,0,86,'Yes'
2,116,268,'Yes'
4,52,4,'Yes'
0,60,11,'Yes'
0,1,0,'Yes'
0,8,0,'Yes'
0,262,0,'Yes'
15,50,48,'Yes'
0,0,0,'Yes'
0,14,2,'Yes'
0,9,394,'Yes'
0,0,4,'Yes'
0,87,3,'Yes'
2,84,0,'Yes'
2,63,20,'Yes'
1,1,3,'Yes'
0,5,29,'Yes'
28,216,283,'Yes'
0,30,106,'Yes'
1,30,41,'Yes'
20,58,465,'Yes'
0,50,14,'Yes'
14,121,16,'Yes'
0,5,132,'Yes'
1,5,484,'Yes'
0,23,149,'Yes'
1,69,164,'Yes'
0,64,4,'Yes'
0,96,8,'Yes'
27,21,57,'Yes'
10,351,240,'Yes'
0,6,0,'Yes'
2,392,127,'Yes'
29,33,168,'Yes'
14,34,15,'Yes'
0,285,0,'Yes'
0,75,0,'Yes'
2,300,2,'Yes'
4,6,108,'Yes'
4,110,30,'Yes'
0,262,26,'Yes'
73,32,71,'Yes'
0,74,157,'Yes'
0,81,5,'Yes'
0,0,99,'Yes'
9,39,68,'Yes'
2,3,187,'Yes'
24,520,7,'Yes'
0,260,105,'Yes'
7,63,3,'Yes'
0,52,42,'Yes'
1,28,37,'Yes'
0,3,0,'Yes'
0,39,17,'Yes'
0,0,0,'Yes'
1,115,86,'Yes'
4,8,521,'Yes'
1,28,37,'Yes'
10,113,34,'Yes'
0,96,69,'Yes'
0,0,63,'Yes'
4,14,140,'Yes'
0,29,168,'Yes'
0,116,1349,'Yes'
2,45,61,'Yes'
9,39,68,'Yes'
0,0,3,'No'
54,348,11,'No'
2,32,220,'No'
5,129,42,'No'
0,147,1,'No'
0,2,1,'No'
11,345,358,'No'
0,260,0,'No'
14,102,80,'No'
0,92,227,'No'
0,85,370,'No'
5,20,297,'No'
0,0,1,'No'
0,0,4,'No'
25,11,167,'No'
0,14,11,'No'
0,12,22,'No'
1,1348,131,'No'
12,36,119,'No'
0,0,36,'No'
0,30,12,'No'
1,38,30,'No'
0,37,0,'No'
1,463,6,'No'
0,196,5,'No'
0,55,34,'No'
0,1,9,'No'
2,111,4,'No'
0,13,31,'No'
0,2,27,'No'
9,71,46,'No'
0,2,14,'No'
0,57,5,'No'
14,188,16,'No'
0,196,5,'No'
1,50,17,'No'
0,1,72,'No'
0,60,0,'No'
0,54,0,'No'
11,191,3,'No'
0,9,0,'No'
0,427,5,'No'
23,450,148,'No'
45,357,9,'No'
1,59,18,'No'
14,188,670,'No'
0,26,12,'No'
4,13,254,'No'
0,18,4,'No'
0,42,190,'No'
6,296,16,'No'
4,21,6,'No'
0,28,7,'No'
12,23,27,'No'
0,0,7,'No'
0,23,50,'No'
0,60,2,'No'
0,17,69,'No'
0,132,13,'No'
2,10,86,'No'
0,31,50,'No'
0,35,22,'No'
0,260,21,'No'
0,147,0,'No'
9,71,46,'No'
0,1,0,'No'
0,4,17,'No'
0,82,29,'No'
0,76,311,'No'
0,36,69,'No'
20,60,288,'No'
0,13,2,'No'
0,7,31,'No'
0,9,658,'No'
0,11,62,'No'
2,683,16,'No'
0,21,78,'No'
0,11,37,'No'
2,7,26,'No'
0,16,0,'No'
0,36,9,'No'
1,25,69,'No'
0,48,21,'No'
2,253,38,'No'
0,31,9,'No'
0,2,30,'No'
0,37,34,'No'
0,39,13,'No'
0,15,158,'No'
0,147,65,'No'
12,36,119,'No'
1,30,92,'No'
0,9,53,'No'
8,72,17,'No'
0,33,9,'No'
0,30,4,'No'
105,439,297,'No'
0,127,17,'No'
0,7,28,'No'
31,274,426,'No'
1,156,401,'No'
13,16,101,'No'
0,26,18,'No'
26,55,8,'No'
0,260,61,'No'
0,23,179,'No'
0,76,9,'No'
0,87,3,'No'
1,37,46,'No'
0,15,0,'No'
0,190,48,'No'
0,0,37,'No'
0,16,17,'No'
0,0,26,'No'
2,7,79,'No'
1,249,30,'No'
28,59,41,'No'
9,115,71,'No'
1,95,20,'No'
0,48,48,'No'
73,80,137,'No'
0,9,4,'No'
0,7,5,'No'
0,13,0,'No'
2,231,83,'No'
0,200,0,'No'
0,18,13,'No'
3,18,16,'No'
0,65,9,'No'
0,16,1,'No'
0,0,4,'No'
14,47,105,'No'
0,41,124,'No'
0,260,61,'No'
0,22,39,'No'
0,17,213,'No'
3,51,33,'No'
0,4,12,'No'
54,348,11,'No'
0,16,34,'No'
0,9,16,'No'
1,59,9,'No'
0,5,4,'No'
0,55,0,'No'
3,96,24,'No'
0,147,57,'No'
0,51,7,'No'
1,12,57,'No'
4,454,92,'No'
1,338,10,'No'
0,7,223,'No'
3,224,305,'No'
3,11,32,'No'
3,25,424,'No'
0,117,114,'No'
0,92,50,'No'
22,26,180,'No'
0,0,36,'No'
36,224,78,'No'
0,54,190,'No'
0,78,525,'No'
0,2,48,'No'
0,48,4,'No'
0,17,28,'No'
0,131,93,'No'
7,120,1342,'No'
0,100,60,'No'
0,114,34,'No'
22,122,49,'No'
1,113,19,'No'
0,30,21,'No'
0,210,1,'No'
0,30,132,'No'
17,527,344,'No'
7,1342,120,'No'
9,114,26,'No'
0,0,31,'No'
2,8,83,'No'
0,228,18,'No'
0,8,2,'No'
1,1,95,'No'
0,228,0,'No'
4,31,4,'No'
11,185,285,'No'
1,95,69,'No'
2,370,39,'No'
0,12,25,'No'
1,16,149,'No'
1,79,11,'No'
0,125,5,'No'
17,54,12,'No'
0,93,14,'No'
0,13,37,'No'
0,1,64,'No'
16,65,22,'No'
0,13,4,'No'
0,0,37,'No'
4,229,8,'No'
0,87,0,'No'
0,2,158,'No'
2,14,122,'No'
3,94,36,'No'
9,49,270,'No'
0,38,39,'No'
0,6,2,'No'
0,35,47,'No'
3,225,105,'No'
0,13,0,'No'
7,146,8,'No'
0,86,756,'No'
0,125,5,'No'
4,52,26,'No'
0,11,3,'No'
4,101,1,'No'
0,12,17,'No'
1,20,524,'No'
0,9,0,'No'
0,34,2,'No'
0,144,12,'No'
0,87,3,'No'
12,76,18,'No'
1,227,38,'No'
0,11,9,'No'
0,9,0,'No'
0,9,39,'No'
0,9,4,'No'
0,0,0,'No'
6,42,29,'No'
0,70,1,'No'
0,8,61,'No'
0,27,18,'No'
0,0,34,'No'
0,39,0,'No'
0,87,3,'No'
0,30,5,'No'
6,350,21,'No'
0,1,196,'No'
0,47,25,'No'
0,18,21,'No'
2,114,12,'No'
0,18,114,'No'
1,13,18,'No'
0,305,2,'No'
0,62,78,'No'
0,7,27,'No'
1,86,219,'No'
0,15,29,'No'
0,1,3,'No'
1,1,2,'No'
14,47,105,'No'
70,232,167,'No'
0,48,114,'No'
12,107,22,'No'
9,193,30,'No'
0,190,0,'No'
0,4,26,'No'
0,48,15,'No'
0,9,15,'No'
4,229,8,'No'
0,1,30,'No'
0,9,38,'No'
0,60,0,'No'
53,180,98,'No'
3,5,12,'No'
11,123,133,'No'
8,73,6,'No'
0,31,0,'No'
3,59,53,'No'
0,65,9,'No'
0,0,6,'No'
0,48,189,'No'
1,132,32,'No'
0,31,4,'No'
0,1,4,'No'
0,9,9,'No'
0,0,113,'No'
0,81,3,'No'
0,27,5,'No'
0,3,0,'No'
0,114,9,'No'
0,65,2,'No'
1,457,30,'No'
0,4,30,'No'
1,2,38,'No'
2,25,1,'No'
32,73,31,'No'
0,0,14,'No'
2,7,239,'No'
31,34,87,'No'
0,57,60,'No'
13,60,295,'No'
0,12,54,'No'
1,9,56,'No'
12,68,102,'No'
0,117,114,'No'
28,59,41,'No'
2,46,82,'No'
0,202,3,'No'
4,19,74,'No'
0,0,13,'No'
13,121,14,'No'
27,334,375,'No'
0,1,213,'No'
0,117,78,'No'
0,5,0,'No'
0,11,49,'No'
0,119,10,'No'
2,68,116,'No'
0,0,100,'No'
13,16,101,'No'
0,2,69,'No'
0,9,82,'No'
0,28,7,'No'
0,151,0,'No'
1,53,19,'No'
0,30,31,'No'
11,191,3,'No'
11,556,75,'No'
3,158,187,'No'
0,85,0,'No'
1,80,22,'No'
0,127,163,'No'
0,9,1,'No'
0,30,10,'No'
0,427,5,'No'
3,71,305,'No'
20,60,288,'No'
0,39,5,'No'
1,29,10,'No'
18,116,190,'No'
4,84,33,'No'
0,47,33,'No'
0,7,5,'No'
0,106,6,'No'
1,16,426,'No'
0,27,7,'No'
0,5,22,'No'
6,111,363,'No'
0,2,0,'No'
0,30,27,'No'
0,1349,80,'No'
0,2,0,'No'
2,248,39,'No'
3,358,51,'No'
16,38,20,'No'
10,143,155,'No'
0,2,5,'No'
0,1,2,'No'
0,39,17,'No'
0,11,4,'No'
130,175,395,'No'
0,125,431,'No'
44,80,224,'No'
12,122,167,'No'
1,160,543,'No'
0,0,0,'No'
