-1 1:11 2:191 3:3 4:0.0536585365854 5:0.0544554455446 6:0.785714285714 7:0.931707317073 8:0.0146341463415
-1 1:1 2:338 3:10 4:0.00286532951289 5:0.00294985250737 6:0.0909090909091 7:0.968481375358 8:0.0286532951289
-1 1:2 2:68 3:91 4:0.0124223602484 5:0.0285714285714 6:0.0215053763441 7:0.422360248447 8:0.565217391304
-1 1:1 2:37 3:46 4:0.0119047619048 5:0.0263157894737 6:0.0212765957447 7:0.440476190476 8:0.547619047619
-1 1:0 2:1 3:196 4:0.0 5:0.0 6:0.0 7:0.00507614213198 8:0.994923857868
-1 1:0 2:7 3:5 4:0.0 5:0.0 6:0.0 7:0.583333333333 8:0.416666666667
-1 1:1 2:160 3:13 4:0.00574712643678 5:0.00621118012422 6:0.0714285714286 7:0.919540229885 8:0.0747126436782
-1 1:0 2:78 3:1 4:0.0 5:0.0 6:0.0 7:0.987341772152 8:0.0126582278481
-1 1:1 2:77 3:34 4:0.00892857142857 5:0.0128205128205 6:0.0285714285714 7:0.6875 8:0.303571428571
-1 1:0 2:52 3:105 4:0.0 5:0.0 6:0.0 7:0.331210191083 8:0.668789808917
-1 1:2 2:39 3:370 4:0.00486618004866 5:0.0487804878049 6:0.00537634408602 7:0.0948905109489 8:0.900243309002
-1 1:0 2:41 3:165 4:0.0 5:0.0 6:0.0 7:0.199029126214 8:0.800970873786
-1 1:0 2:215 3:55 4:0.0 5:0.0 6:0.0 7:0.796296296296 8:0.203703703704
-1 1:0 2:8 3:61 4:0.0 5:0.0 6:0.0 7:0.115942028986 8:0.884057971014
-1 1:4 2:101 3:84 4:0.021164021164 5:0.0380952380952 6:0.0454545454545 7:0.534391534392 8:0.444444444444
-1 1:0 2:18 3:114 4:0.0 5:0.0 6:0.0 7:0.136363636364 8:0.863636363636
-1 1:0 2:34 3:170 4:0.0 5:0.0 6:0.0 7:0.166666666667 8:0.833333333333
-1 1:4 2:84 3:74 4:0.0246913580247 5:0.0454545454545 6:0.0512820512821 7:0.518518518519 8:0.456790123457
-1 1:0 2:62 3:78 4:0.0 5:0.0 6:0.0 7:0.442857142857 8:0.557142857143
-1 1:1 2:13 3:18 4:0.03125 5:0.0714285714286 6:0.0526315789474 7:0.40625 8:0.5625
-1 1:0 2:1 3:37 4:0.0 5:0.0 6:0.0 7:0.0263157894737 8:0.973684210526
-1 1:11 2:556 3:75 4:0.0171339563863 5:0.0194003527337 6:0.127906976744 7:0.866043613707 8:0.116822429907
-1 1:2 2:231 3:83 4:0.00632911392405 5:0.00858369098712 6:0.0235294117647 7:0.731012658228 8:0.262658227848
-1 1:4 2:61 3:339 4:0.00990099009901 5:0.0615384615385 6:0.0116618075802 7:0.15099009901 8:0.839108910891
-1 1:0 2:175 3:52 4:0.0 5:0.0 6:0.0 7:0.770925110132 8:0.229074889868
-1 1:5 2:30 3:40 4:0.0666666666667 5:0.142857142857 6:0.111111111111 7:0.4 8:0.533333333333
-1 1:0 2:2 3:1 4:0.0 5:0.0 6:0.0 7:0.666666666667 8:0.333333333333
-1 1:0 2:35 3:22 4:0.0 5:0.0 6:0.0 7:0.614035087719 8:0.385964912281
-1 1:12 2:68 3:102 4:0.0659340659341 5:0.15 6:0.105263157895 7:0.373626373626 8:0.56043956044
-1 1:20 2:60 3:288 4:0.054347826087 5:0.25 6:0.0649350649351 7:0.163043478261 8:0.782608695652
-1 1:0 2:9 3:0 4:0.0 5:0.0 6:0 7:1.0 8:0.0
-1 1:0 2:228 3:0 4:0.0 5:0.0 6:0 7:1.0 8:0.0
-1 1:0 2:175 3:58 4:0.0 5:0.0 6:0.0 7:0.751072961373 8:0.248927038627
-1 1:0 2:25 3:0 4:0.0 5:0.0 6:0 7:1.0 8:0.0
-1 1:0 2:7 3:132 4:0.0 5:0.0 6:0.0 7:0.0503597122302 8:0.94964028777
-1 1:0 2:31 3:50 4:0.0 5:0.0 6:0.0 7:0.382716049383 8:0.617283950617
-1 1:18 2:19 3:110 4:0.122448979592 5:0.486486486486 6:0.140625 7:0.12925170068 8:0.748299319728
-1 1:4 2:229 3:8 4:0.0165975103734 5:0.0171673819742 6:0.333333333333 7:0.95020746888 8:0.0331950207469
-1 1:22 2:26 3:180 4:0.0964912280702 5:0.458333333333 6:0.108910891089 7:0.114035087719 8:0.789473684211
-1 1:0 2:125 3:5 4:0.0 5:0.0 6:0.0 7:0.961538461538 8:0.0384615384615
-1 1:0 2:30 3:27 4:0.0 5:0.0 6:0.0 7:0.526315789474 8:0.473684210526
-1 1:0 2:5 3:27 4:0.0 5:0.0 6:0.0 7:0.15625 8:0.84375
-1 1:0 2:0 3:0 4:0 5:0 6:0 7:0 8:0
-1 1:0 2:10 3:97 4:0.0 5:0.0 6:0.0 7:0.0934579439252 8:0.906542056075
-1 1:0 2:48 3:48 4:0.0 5:0.0 6:0.0 7:0.5 8:0.5
-1 1:17 2:54 3:12 4:0.204819277108 5:0.239436619718 6:0.586206896552 7:0.650602409639 8:0.144578313253
-1 1:2 2:370 3:39 4:0.00486618004866 5:0.00537634408602 6:0.0487804878049 7:0.900243309002 8:0.0948905109489
-1 1:0 2:9 3:15 4:0.0 5:0.0 6:0.0 7:0.375 8:0.625
-1 1:0 2:210 3:1 4:0.0 5:0.0 6:0.0 7:0.995260663507 8:0.00473933649289
-1 1:0 2:1 3:3 4:0.0 5:0.0 6:0.0 7:0.25 8:0.75
-1 1:0 2:21 3:165 4:0.0 5:0.0 6:0.0 7:0.112903225806 8:0.887096774194
-1 1:3 2:158 3:187 4:0.00862068965517 5:0.0186335403727 6:0.0157894736842 7:0.454022988506 8:0.537356321839
-1 1:70 2:232 3:167 4:0.149253731343 5:0.23178807947 6:0.295358649789 7:0.494669509595 8:0.356076759062
-1 1:0 2:47 3:106 4:0.0 5:0.0 6:0.0 7:0.307189542484 8:0.692810457516
-1 1:0 2:13 3:4 4:0.0 5:0.0 6:0.0 7:0.764705882353 8:0.235294117647
-1 1:0 2:1 3:9 4:0.0 5:0.0 6:0.0 7:0.1 8:0.9
-1 1:0 2:92 3:227 4:0.0 5:0.0 6:0.0 7:0.288401253918 8:0.711598746082
-1 1:12 2:76 3:18 4:0.11320754717 5:0.136363636364 6:0.4 7:0.716981132075 8:0.169811320755
-1 1:9 2:193 3:30 4:0.0387931034483 5:0.0445544554455 6:0.230769230769 7:0.831896551724 8:0.129310344828
-1 1:0 2:2 3:16 4:0.0 5:0.0 6:0.0 7:0.111111111111 8:0.888888888889
-1 1:0 2:372 3:39 4:0.0 5:0.0 6:0.0 7:0.905109489051 8:0.0948905109489
-1 1:0 2:81 3:3 4:0.0 5:0.0 6:0.0 7:0.964285714286 8:0.0357142857143
-1 1:0 2:21 3:0 4:0.0 5:0.0 6:0 7:1.0 8:0.0
-1 1:0 2:147 3:0 4:0.0 5:0.0 6:0 7:1.0 8:0.0
-1 1:1 2:2 3:38 4:0.0243902439024 5:0.333333333333 6:0.025641025641 7:0.0487804878049 8:0.926829268293
-1 1:0 2:175 3:197 4:0.0 5:0.0 6:0.0 7:0.470430107527 8:0.529569892473
-1 1:2 2:23 3:56 4:0.0246913580247 5:0.08 6:0.0344827586207 7:0.283950617284 8:0.691358024691
-1 1:0 2:104 3:0 4:0.0 5:0.0 6:0 7:1.0 8:0.0
-1 1:1 2:38 3:30 4:0.0144927536232 5:0.025641025641 6:0.0322580645161 7:0.550724637681 8:0.434782608696
-1 1:8 2:579 3:130 4:0.0111576011158 5:0.0136286201022 6:0.0579710144928 7:0.807531380753 8:0.181311018131
-1 1:9 2:49 3:270 4:0.0274390243902 5:0.155172413793 6:0.0322580645161 7:0.149390243902 8:0.823170731707
-1 1:6 2:42 3:29 4:0.0779220779221 5:0.125 6:0.171428571429 7:0.545454545455 8:0.376623376623
-1 1:0 2:202 3:3 4:0.0 5:0.0 6:0.0 7:0.985365853659 8:0.0146341463415
-1 1:0 2:6 3:2 4:0.0 5:0.0 6:0.0 7:0.75 8:0.25
-1 1:0 2:4 3:17 4:0.0 5:0.0 6:0.0 7:0.190476190476 8:0.809523809524
-1 1:45 2:311 3:472 4:0.054347826087 5:0.126404494382 6:0.0870406189555 7:0.375603864734 8:0.570048309179
-1 1:0 2:11 3:9 4:0.0 5:0.0 6:0.0 7:0.55 8:0.45
-1 1:0 2:39 3:55 4:0.0 5:0.0 6:0.0 7:0.414893617021 8:0.585106382979
-1 1:3 2:96 3:24 4:0.0243902439024 5:0.030303030303 6:0.111111111111 7:0.780487804878 8:0.19512195122
-1 1:1 2:59 3:9 4:0.0144927536232 5:0.0166666666667 6:0.1 7:0.855072463768 8:0.130434782609
-1 1:0 2:90 3:1 4:0.0 5:0.0 6:0.0 7:0.989010989011 8:0.010989010989
-1 1:13 2:16 3:101 4:0.1 5:0.448275862069 6:0.114035087719 7:0.123076923077 8:0.776923076923
-1 1:2 2:10 3:85 4:0.020618556701 5:0.166666666667 6:0.0229885057471 7:0.103092783505 8:0.876288659794
-1 1:0 2:26 3:18 4:0.0 5:0.0 6:0.0 7:0.590909090909 8:0.409090909091
-1 1:0 2:270 3:25 4:0.0 5:0.0 6:0.0 7:0.915254237288 8:0.0847457627119
-1 1:0 2:0 3:4 4:0.0 5:0 6:0.0 7:0.0 8:1.0
-1 1:0 2:60 3:0 4:0.0 5:0.0 6:0 7:1.0 8:0.0
-1 1:0 2:34 3:2 4:0.0 5:0.0 6:0.0 7:0.944444444444 8:0.0555555555556
-1 1:0 2:11 3:0 4:0.0 5:0.0 6:0 7:1.0 8:0.0
-1 1:53 2:180 3:98 4:0.160120845921 5:0.227467811159 6:0.350993377483 7:0.543806646526 8:0.296072507553
-1 1:9 2:558 3:79 4:0.0139318885449 5:0.015873015873 6:0.102272727273 7:0.863777089783 8:0.122291021672
-1 1:0 2:25 3:58 4:0.0 5:0.0 6:0.0 7:0.301204819277 8:0.698795180723
-1 1:5 2:680 3:93 4:0.00642673521851 5:0.00729927007299 6:0.0510204081633 7:0.874035989717 8:0.119537275064
-1 1:105 2:439 3:297 4:0.12485136742 5:0.193014705882 6:0.261194029851 7:0.521997621879 8:0.353151010702
-1 1:0 2:70 3:50 4:0.0 5:0.0 6:0.0 7:0.583333333333 8:0.416666666667
-1 1:0 2:55 3:34 4:0.0 5:0.0 6:0.0 7:0.61797752809 8:0.38202247191
-1 1:0 2:9 3:82 4:0.0 5:0.0 6:0.0 7:0.0989010989011 8:0.901098901099
-1 1:0 2:0 3:151 4:0.0 5:0 6:0.0 7:0.0 8:1.0
-1 1:0 2:30 3:31 4:0.0 5:0.0 6:0.0 7:0.491803278689 8:0.508196721311
-1 1:1 2:30 3:92 4:0.00813008130081 5:0.0322580645161 6:0.010752688172 7:0.243902439024 8:0.747967479675
-1 1:0 2:5 3:0 4:0.0 5:0.0 6:0 7:1.0 8:0.0
-1 1:0 2:52 3:0 4:0.0 5:0.0 6:0 7:1.0 8:0.0
-1 1:16 2:65 3:22 4:0.155339805825 5:0.197530864198 6:0.421052631579 7:0.631067961165 8:0.21359223301
-1 1:0 2:39 3:17 4:0.0 5:0.0 6:0.0 7:0.696428571429 8:0.303571428571
-1 1:0 2:0 3:36 4:0.0 5:0 6:0.0 7:0.0 8:1.0
-1 1:0 2:1 3:1 4:0.0 5:0.0 6:0.0 7:0.5 8:0.5
-1 1:0 2:30 3:12 4:0.0 5:0.0 6:0.0 7:0.714285714286 8:0.285714285714
-1 1:0 2:0 3:14 4:0.0 5:0 6:0.0 7:0.0 8:1.0
-1 1:0 2:71 3:2 4:0.0 5:0.0 6:0.0 7:0.972602739726 8:0.027397260274
-1 1:4 2:127 3:66 4:0.0203045685279 5:0.030534351145 6:0.0571428571429 7:0.644670050761 8:0.335025380711
-1 1:0 2:0 3:0 4:0 5:0 6:0 7:0 8:0
-1 1:0 2:114 3:9 4:0.0 5:0.0 6:0.0 7:0.926829268293 8:0.0731707317073
-1 1:11 2:345 3:358 4:0.015406162465 5:0.0308988764045 6:0.029810298103 7:0.483193277311 8:0.501400560224
-1 1:0 2:0 3:36 4:0.0 5:0 6:0.0 7:0.0 8:1.0
-1 1:0 2:114 3:25 4:0.0 5:0.0 6:0.0 7:0.820143884892 8:0.179856115108
-1 1:0 2:1 3:13 4:0.0 5:0.0 6:0.0 7:0.0714285714286 8:0.928571428571
-1 1:17 2:527 3:344 4:0.0191441441441 5:0.03125 6:0.0470914127424 7:0.593468468468 8:0.387387387387
-1 1:8 2:79 3:294 4:0.0209973753281 5:0.0919540229885 6:0.0264900662252 7:0.207349081365 8:0.771653543307
-1 1:0 2:132 3:0 4:0.0 5:0.0 6:0 7:1.0 8:0.0
-1 1:0 2:327 3:1 4:0.0 5:0.0 6:0.0 7:0.996951219512 8:0.0030487804878
-1 1:0 2:0 3:0 4:0 5:0 6:0 7:0 8:0
-1 1:0 2:2 3:158 4:0.0 5:0.0 6:0.0 7:0.0125 8:0.9875
-1 1:1 2:92 3:26 4:0.00840336134454 5:0.010752688172 6:0.037037037037 7:0.773109243697 8:0.218487394958
-1 1:0 2:98 3:8 4:0.0 5:0.0 6:0.0 7:0.924528301887 8:0.0754716981132
-1 1:1 2:484 3:14 4:0.00200400801603 5:0.0020618556701 6:0.0666666666667 7:0.96993987976 8:0.0280561122244
-1 1:0 2:96 3:50 4:0.0 5:0.0 6:0.0 7:0.657534246575 8:0.342465753425
-1 1:2 2:114 3:12 4:0.015625 5:0.0172413793103 6:0.142857142857 7:0.890625 8:0.09375
-1 1:0 2:36 3:69 4:0.0 5:0.0 6:0.0 7:0.342857142857 8:0.657142857143
-1 1:4 2:229 3:8 4:0.0165975103734 5:0.0171673819742 6:0.333333333333 7:0.95020746888 8:0.0331950207469
-1 1:0 2:18 3:13 4:0.0 5:0.0 6:0.0 7:0.58064516129 8:0.41935483871
-1 1:12 2:36 3:119 4:0.0718562874251 5:0.25 6:0.0916030534351 7:0.215568862275 8:0.712574850299
